130001_evacuation_center
,,,,,,,,,,,
避難所_施設名称,地方公共団体コード,都道府県,指定市区町村名,所在地住所,緯度,経度,"エレベーター有/
避難スペースが１階",スロープ等,点字ブロック,車椅子使用者対応トイレ,その他
,,,,,,,,,,,
お茶の水小学校,131016,東京都,千代田区,千代田区神田猿楽町1-1-1,35.69735834,139.76030580,,,,,
都立一橋高校,131016,東京都,千代田区,千代田区東神田1-12-13,35.69466220,139.78114920,○,○,○,,
スポーツセンター,131016,東京都,千代田区,千代田区内神田2-1-8,35.68912646,139.76754350,○,○,○,○,自動ドア
九段小学校,131016,東京都,千代田区,千代田区三番町16,35.69045600,139.74040200,○,○,○,○,
麹町小学校,131016,東京都,千代田区,千代田区麹町2-8,35.68534413,139.73976300,○,○,○,○,
番町小学校,131016,東京都,千代田区,千代田区六番町8,35.68797468,139.73380040,,,,,
麹町中学校,131016,東京都,千代田区,千代田区平河町2-5-1,35.68049367,139.73924630,○,○,○,○,
富士見みらい館,131016,東京都,千代田区,千代田区富士見1-10-3,35.69723698,139.74643300,○,○,○,○,
神田一橋中学校,131016,東京都,千代田区,千代田区一ツ橋2-6-14,35.69413860,139.75677120,○,○,○,○,
神田さくら館,131016,東京都,千代田区,千代田区神田司町2-16,35.69304104,139.76849030,○,○,○,○,
昌平童夢館,131016,東京都,千代田区,千代田区外神田3-4-7,35.70127815,139.76987380,○,○,○,○,
アーツ千代田3331,131016,東京都,千代田区,千代田区外神田6-11-14,35.70424084,139.77081160,○,○,○,○,自動ドア
ちよだパークサイドプラザ,131016,東京都,千代田区,千代田区神田和泉町1,35.69913662,139.77842720,○,○,○,○,
旧今川中学校,131016,東京都,千代田区,千代田区鍛冶町2-4-2,35.69167731,139.77272800,,,,,
京橋区民館,131024,東京都,中央区,中央区京橋2-6-7,35.67656400,139.77135800,○,○,,○,自動ドア
泰明小学校,131024,東京都,中央区,中央区銀座5-1-13,35.67236218,139.76140570,,,,,
中央小学校,131024,東京都,中央区,中央区湊1-4-1,35.67227065,139.77886120,○,○,○,○,オストメイト設備
明石小学校,131024,東京都,中央区,中央区明石町1-15,35.66886598,139.77655560,○,○,○,○,オストメイト設備
京橋築地小学校,131024,東京都,中央区,中央区築地2-13-1,35.66800993,139.77119510,○,○,,○,
明正小学校,131024,東京都,中央区,中央区新川2-13-4,35.67606031,139.78207180,○,○,○,○,オストメイト設備
銀座中学校,131024,東京都,中央区,中央区銀座8-19-15,35.66545304,139.76475870,○,○,,○,
京橋プラザ,131024,東京都,中央区,中央区銀座1-25-3,35.67314536,139.77159080,○,○,○,○,自動ドア
京華スクエア,131024,東京都,中央区,中央区八丁堀3-17-9,35.67487128,139.77582940,○,○,○,○,自動ドア
常盤小学校,131024,東京都,中央区,中央区日本橋本石町4-4-26,35.68846361,139.77054930,○,○,,,
日本橋小学校,131024,東京都,中央区,中央区日本橋人形町1-1-17,35.68468833,139.78160850,○,○,,○,
有馬小学校,131024,東京都,中央区,中央区日本橋蛎殻町2-10-23,35.68328566,139.78799800,○,○,,○,
久松小学校,131024,東京都,中央区,中央区日本橋久松町7-2,35.68904292,139.78433010,○,○,,○,
阪本小学校,131024,東京都,中央区,中央区日本橋兜町15-18,35.67985000,139.77681000,○,○,○,○,
日本橋中学校,131024,東京都,中央区,中央区東日本橋1-10-1,35.69227162,139.78686780,,,,,
十思スクエア,131024,東京都,中央区,中央区日本橋小伝馬町5-1,35.69109549,139.77692570,○,○,○,○,自動ドア
佃島小学校,131024,東京都,中央区,中央区佃2-3-1,35.66862322,139.78475790,○,○,,○,
佃中学校,131024,東京都,中央区,中央区佃2-3-2,35.66807529,139.78508590,○,○,,○,
月島第一小学校,131024,東京都,中央区,中央区月島4-15-1,35.66065199,139.78009760,○,○,,○,
月島第二小学校,131024,東京都,中央区,中央区勝どき1-12-2,35.66023493,139.77597900,○,○,,○,
月島第三小学校,131024,東京都,中央区,中央区晴海1-4-1,35.65890134,139.78582420,○,○,,○,
豊海小学校,131024,東京都,中央区,中央区豊海3-1,35.65346700,139.77139300,○,○,○,○,
晴海中学校,131024,東京都,中央区,中央区晴海1-5-3,35.65978000,139.78445500,○,○,,○,
三田いきいきプラザ,131032,東京都,港区,港区芝4-1-17,35.64875300,139.74974400,○,○,○,○,自動ドア・オストメイト設備
笄小学校,131032,東京都,港区,港区西麻布3-11-16,35.65646498,139.72491050,,,,,
御成門小学校,131032,東京都,港区,港区芝公園3-2-4,35.66131311,139.74978920,○,○,,○,
芝小学校,131032,東京都,港区,港区芝2-21-3,35.65093928,139.75007350,○,,,○,
赤羽小学校,131032,東京都,港区,港区三田1-4-52,35.65320582,139.74238310,○,○,,○,
御成門中学校,131032,東京都,港区,港区西新橋3-25-30,35.66159709,139.75041810,○,○,,○,
生涯学習センター,131032,東京都,港区,港区新橋3-16-3,35.66555782,139.75707740,○,○,○,○,玄関自動ドア
エコプラザ,131032,東京都,港区,港区浜松町1-13-1,35.65884900,139.75688800,○,○,○,○,自動ドア・ベビーベッド
福祉プラザさくら川,131032,東京都,港区,港区新橋6-19-2,35.66118323,139.75379180,○,○,,○,
神明子ども中高生プラザ・神明いきいきプラザ,131032,東京都,港区,港区浜松町1-6-7,35.65882700,139.75755400,○,○,○,○,自動ドア・オストメイト設備・授乳室
虎ノ門いきいきプラザ,131032,東京都,港区,港区虎ノ門1-21-10,35.66790600,139.74871300,○,○,○,○,自動ドア・オストメイト設備
麻布小学校,131032,東京都,港区,港区麻布台1-5-15,35.66194273,139.73853110,○,,,○,
旧飯倉小学校,131032,東京都,港区,港区東麻布2-1-1,35.65822800,139.74260300,,,,,
本村小学校,131032,東京都,港区,港区南麻布3-9-33,35.64980887,139.72993630,○,○,,○,
東町小学校,131032,東京都,港区,港区南麻布1-8-11,35.65091590,139.73587380,○,,,,
六本木中学校,131032,東京都,港区,港区六本木6-8-16,35.66083969,139.73218670,○,○,○,○,
高陵中学校,131032,東京都,港区,港区西麻布4-14-8,35.65689800,139.72039400,○,○,○,○,オストメイト設備
南山小学校,131032,東京都,港区,港区元麻布3-8-15,35.65723705,139.73065890,○,,,○,
麻布区民センター,131032,東京都,港区,港区六本木5-16-45,35.66068578,139.73508340,○,,○,○,オストメイト設備
南麻布いきいきプラザ,131032,東京都,港区,港区南麻布1-5-26,35.65143500,139.73510100,○,,○,○,オストメイト設備
麻布子ども中高生プラザ・ありすいきいきプラザ,131032,東京都,港区,港区南麻布4-6-7,35.65103800,139.72741000,○,,○,○,おむつ交換台・オストメイト設備
西麻布いきいきプラザ,131032,東京都,港区,港区西麻布2-13-3,35.66090300,139.72272100,○,,○,○,おむつ交換台・オストメイト設備
飯倉いきいきプラザ,131032,東京都,港区,港区東麻布2-16-11,35.65690400,139.74088900,○,○,○,○,オストメイト設備
赤坂小学校,131032,東京都,港区,港区赤坂8-13-29,35.66942570,139.73124040,○,○,,○,
青山小学校,131032,東京都,港区,港区南青山2-21-2,35.66970833,139.71890740,○,,,○,
青南小学校,131032,東京都,港区,港区南青山4-21-15,35.66350995,139.71610190,,,,,
赤坂中学校,131032,東京都,港区,港区赤坂9-2-3,35.66817984,139.73150240,○,○,○,○,
青山中学校,131032,東京都,港区,港区北青山1-1-9,35.67418691,139.72205300,○,,,○,
赤坂区民センター,131032,東京都,港区,港区赤坂4-18-13,35.67466312,139.73184910,○,,,○,オスメイト設備
サン・サン赤坂（赤坂子ども中高生プラザ）,131032,東京都,港区,港区赤坂6-6-14,35.66976483,139.73772580,○,○,○,○,
赤坂いきいきプラザ,131032,東京都,港区,港区赤坂6-4-8,35.67035800,139.73493900,○,○,○,○,自動ドア・オストメイト設備・点字標示板
青山いきいきプラザ,131032,東京都,港区,港区南青山2-16-5,35.66919100,139.72124300,○,○,○,○,自動ドア・オストメイト設備・点字標示板
青南いきいきプラザ,131032,東京都,港区,港区南青山4-10-1,35.66646600,139.71731300,○,○,○,○,自動ドア・オストメイト設備
御田小学校,131032,東京都,港区,港区三田4-11-38,35.64311183,139.73788790,,,,,
高輪区民センター,131032,東京都,港区,港区高輪1-16-25,35.64204585,139.73401830,○,○,○,○,
白金小学校,131032,東京都,港区,港区白金台1-4-26,35.63678829,139.72855190,,,,,
旧三光小学校,131032,東京都,港区,港区白金3-18-2,35.64444045,139.72925460,○,○,,○,
白金の丘学園白金の丘小・中学校,131032,東京都,港区,港区白金4-1-12,35.64371100,139.72693000,○,○,○,○,オストメイト設備
旧神応小学校,131032,東京都,港区,港区白金6-9-5,35.64364341,139.72449800,○,,,,
三田中学校,131032,東京都,港区,港区三田4-13-13,35.64523000,139.74085100,○,○,○,○,オストメイト設備
高松中学校,131032,東京都,港区,港区高輪1-16-25,35.64087998,139.73409430,○,○,,○,
高輪台小学校,131032,東京都,港区,港区高輪2-8-24,35.63633450,139.73438550,○,○,○,○,オストメイト設備
高輪子ども中高生プラザ,131032,東京都,港区,港区高輪1-4-35,35.64237500,139.73483200,○,,○,○,自動ドア
豊岡いきいきプラザ,131032,東京都,港区,港区三田5-7-7,35.64650200,139.73966200,○,,,○,オストメイト設備・オムツ替えシート
高輪いきいきプラザ,131032,東京都,港区,港区高輪3-18-15,35.63320100,139.73569300,○,○,○,○,オストメイト設備・オムツ替えシート
白金いきいきプラザ,131032,東京都,港区,港区白金3-10-12,35.64489400,139.73107400,○,○,○,○,オムツ替えシート
白金台いきいきプラザ,131032,東京都,港区,港区白金台4-8-5,35.63771400,139.72495800,○,,○,○,オストメイト設備・オムツ替えシート
芝浦小学校,131032,東京都,港区,港区芝浦4-8-18,35.63815900,139.74631100,○,○,○,○,オストメイト設備
港南小学校,131032,東京都,港区,港区港南4-3-28,35.62922980,139.74964490,○,○,○,○,オストメイト設備
港南中学校,131032,東京都,港区,港区港南4-3-3,35.63111848,139.74906140,○,○,,○,
芝浦港南区民センター,131032,東京都,港区,港区芝浦4-13-1,35.64053041,139.74857210,○,,○,○,自動ドア・授乳室
みなとパーク芝浦（港区スポーツセンター・男女平等参画センター）,131032,東京都,港区,港区芝浦1-16-1,35.64663600,139.75142500,○,○,○,○,自動ドア・授乳室・こども用トイレ
港南子ども中高生プラザ,131032,東京都,港区,港区港南4-3-7,35.63094400,139.74965000,○,○,○,○,車椅子対応エレベーター・車椅子使用者対応トイレ・自動ドア・オスメイト対応トイレ・ベビーベッド・ベビーチェア対応トイレ・大人用大型ベッド対応トイレ
港南いきいきプラザ,131032,東京都,港区,港区港南4-2-1,35.62964200,139.74705800,○,○,○,○,オストメイト設備
お台場学園港陽小・中学校,131032,東京都,港区,港区台場1-1-5,35.63360695,139.77714900,○,○,○,○,
台場区民センター,131032,東京都,港区,港区台場1-5-1,35.62996436,139.77706410,○,,○,○,自動ドア・授乳室
札の辻スクエア(産業振興センター),131032,東京都,港区,港区芝5-36-4,35.64506730,139.74245700,○,○,○,○,おむつ交換台・オストメイト設備
芝浜小学校,131032,東京都,港区,港区芝浦1-16-31,35.64633910,139.74882320,○,,○,○,オストメイト・おむつ交換台
